id,id_setor,id_doc
3183,46,2386
3185,6,2388
3190,0,2392
3196,51,2401
3208,0,2417
3211,0,2420
3212,0,2421
3215,0,2425
3220,0,2434
3222,45,2436
3228,49,2446
3229,0,2447
3232,20,2451
3234,20,2452
3240,0,2454
3248,30,2447
3250,41,2462
3254,0,2466
3258,0,2467
3261,0,2469
3264,0,2470
3265,0,2471
3270,19,2480
3277,0,2489
3283,20,2493
3298,41,2503
3304,46,2508
3309,20,2522
3311,20,2523
3313,0,2525
3319,0,2542
3322,0,2543
3324,0,2546
3334,20,2566
3336,0,2568
3344,46,2570
3348,0,2574
3352,0,2577
3355,20,2578
3369,0,2596
3374,0,2604
3376,20,2609
3378,20,2610
3380,0,2612
3390,0,2617
3391,0,2618
3399,0,2628
3409,20,2641
3411,20,2642
3418,38,2651
3422,38,2652
3429,0,2653
3433,0,2654
3436,0,2655
3446,0,2660
3449,0,2665
3451,41,2669
3453,0,2670
3456,13,2671
3461,0,2673
3464,0,2675
3467,30,2679
3469,20,2680
3471,30,2681
3473,0,2682
3478,0,2687
3481,0,2688
3486,4,2705
3488,30,2706
3490,30,2699
3497,11,2714
3502,0,2721
3503,30,2682
3504,35,2727
3508,0,2728
3513,37,2734
3514,0,2734
3515,20,2735
3517,20,2736
3522,0,2737
3526,0,2742
3530,20,2746
3534,45,2748
3535,0,2749
3542,20,2752
3548,11,2751
3553,0,2759
3554,36,2760
3556,4,2760
3560,20,2762
3563,0,2763
3566,0,2764
3567,22,2765
3570,20,2769
3572,0,2770
3581,40,2776
3586,30,2779
3602,0,2786
3603,19,2787
3617,0,2793
3618,22,2794
3623,0,2799
3638,0,2816
3641,0,2817
3642,28,2819
3645,28,2820
3648,28,2821
3651,46,2822
3657,0,2824
3668,20,2841
3670,0,2854
3676,20,2857
3678,0,2859
3684,0,2863
3692,0,2867
3693,0,2869
3697,4,561
3704,0,2877
3707,30,2869
3709,30,2854
3716,0,2890
3719,0,2894
3720,20,2897
3724,0,2898
3728,20,2918
3742,45,2929
3744,0,2933
3758,0,2940
3761,49,2941
3766,0,2945
3767,49,2946
3770,0,2947
3774,0,2951
3778,0,2959
3785,49,2964
3788,0,2967
3790,45,2971
3794,0,2973
3795,20,2974
3799,0,2975
3801,28,2981
3805,0,2983
3811,0,2992
3814,2,2997
3817,0,2999
3826,0,3006
3827,0,3007
3833,49,3012
3834,16,3012
3839,30,3011
3840,21,3015
3851,0,3023
3853,25,3025
3856,20,3027
3858,20,3028
3868,49,3039
3870,49,3040
3872,49,3041
3873,37,3041
3875,36,3042
3876,49,3043
3877,37,3043
3881,36,3049
3883,49,3050
3889,0,3055
3892,0,3062
3899,22,3068
3903,30,3068
3904,22,3069
3905,13,3069
3907,16,3069
3910,0,3076
3916,41,3080
3919,21,3082
3920,4,3082
3926,11,3085
3927,20,3088
3931,0,3089
3934,0,3090
3935,24,3091
3940,0,3092
3942,0,3094
3949,0,3098
3952,0,3099
3955,0,3100
3956,0,3101
3961,0,3106
3965,2,3109
3968,46,3112
3972,0,3113
3975,0,3114
3978,0,3115
3981,0,3116
3984,0,3118
3987,0,3122
3994,0,3134
4004,0,3142
4013,0,3147
4017,36,3152
4022,0,3159
4032,51,3168
4036,4,3169
4040,0,3170
4043,0,3171
4046,0,3172
4047,0,3175
4052,0,3178
4059,0,3182
4062,0,3184
4065,0,3185
4071,0,3187
4072,19,3189
4074,49,3190
4077,28,3192
4093,0,3198
4094,28,3200
4095,28,3201
4099,11,3206
4100,20,3210
4105,0,3215
4108,0,3217
4112,0,3223
4115,2,3226
4121,0,3232
4124,0,3233
4127,0,3234
4128,20,3236
4130,11,3212
4136,0,3247
4139,0,3248
4143,2,3252
4149,11,3255
4150,0,3258
4160,0,3263
4163,0,3264
4166,0,3265
4169,0,3266
4174,0,3270
4175,20,3275
4181,0,3283
4186,0,3288
4189,25,3291
4191,4,3291
4196,11,3294
4201,22,3301
4204,0,3301
4205,20,3302
4207,20,3303
4237,21,3338
4244,20,3347
4249,0,3358
4252,0,3359
4255,0,3360
4256,0,3363
4259,28,3364
4272,0,3374
4276,0,3375
4280,0,3376
4281,0,3377
4285,0,3382
4297,11,3385
4298,11,3384
4299,11,3383
4300,0,3392
4303,11,3393
4305,0,3394
4312,36,3401
4320,0,3403
4324,0,3413
4337,0,3420
4345,36,3427
4347,45,3429
4356,0,3433
4360,0,3436
4363,0,3437
4368,2,3441
4370,0,3444
4376,0,3450
4379,4,3451
4383,49,3453
4388,0,3454
4389,49,3455
4392,6,3456
4394,49,3457
4397,11,3432
4400,0,3465
4403,0,3466
4408,0,3471
4409,51,3482
4411,0,3483
4415,0,3484
4416,0,3489
4420,11,3489
4422,0,3492
4426,26,3494
4430,0,3495
4436,4,3497
4440,0,3500
4444,0,3502
4446,20,3509
4448,20,3510
4450,11,3501
4455,0,3516
4460,13,3522
4461,46,3523
4466,0,3524
4469,10,3526
4470,24,3526
4475,41,3529
4477,0,3530
4480,11,3530
4488,41,3545
4491,45,3549
4494,0,3553
4498,0,3555
4502,31,3562
4507,22,3563
4510,0,3563
4513,41,3565
4515,31,3566
4520,31,3567
4532,0,3570
4534,36,3571
4536,41,3572
4541,41,3577
4545,4,2772
4546,0,3586
4560,0,3605
4563,0,3606
4564,50,3607
4568,0,3608
4571,0,3610
4574,41,3612
4576,8,3613
4579,0,3624
4584,0,3628
4585,38,3630
4587,0,3631
4594,0,3637
4600,38,3647
4603,38,3648
4610,4,3652
4617,4,3656
4621,0,3657
4622,0,3661
4625,0,3662
4627,0,3666
4631,0,3668
4635,0,3670
4638,20,3672
4659,0,3690
4660,37,3690
4668,0,3705
4672,0,3709
4676,0,3711
4679,0,3713
4687,49,3725
4690,49,3728
4695,20,3732
4698,0,3735
4710,20,3742
4712,20,3743
4716,0,3745
4719,0,3746
4723,0,3747
4728,0,3752
4729,36,3753
4734,0,3756
4735,21,3757
4741,45,3764
4744,45,3765
4747,30,3766
4752,0,3768
4755,0,3772
4758,0,3774
4761,0,3775
4765,0,3777
4766,22,3785
4769,0,3785
4770,51,3789
4771,4,3789
4772,26,3791
4776,0,3799
4787,0,3802
4793,0,3804
4796,0,3805
4799,0,3808
4825,28,3814
4829,41,3816
4831,25,3817
4835,4,3817
4842,19,3827
4846,0,3828
4854,20,3833
4856,20,3835
4858,20,3836
4860,20,3837
4864,0,3839
4868,0,3841
4869,20,3842
4874,51,3847
4875,0,3849
4883,20,3854
4885,20,3855
4892,0,3859
4895,46,3864
4898,35,3866
4900,0,3867
4903,0,3868
4917,11,3881
4921,0,3882
4927,0,3889
4932,0,3892
4935,46,3895
4941,0,3897
4944,50,3902
4948,0,3909
4951,38,3910
4953,38,3913
4956,38,3914
4962,0,3918
4965,0,3919
4968,36,3921
4971,38,3922
4977,38,3925
4982,38,3927
4985,38,3928
4988,0,3929
4993,45,3933
5000,4,3939
5002,0,3940
5007,46,3947
5010,21,3954
5021,46,3960
5026,36,3971
5031,0,3972
5034,0,3977
5037,0,3978
5040,0,3980
5049,30,3990
5055,0,3993
5059,0,3997
5060,26,3998
5062,36,4008
5069,0,4011
5071,0,4016
5076,0,4020
5085,6,4024
5104,25,4036
5113,37,4042
5115,36,4045
5119,6,4048
5124,0,4053
5129,0,4054
5133,0,4056
5136,0,4057
5139,0,4058
5140,21,4059
5143,25,4062
5150,0,4063
5151,6,4064
5156,0,4065
5159,0,4067
5164,0,4068
5165,0,4069
5171,0,4073
5174,0,4074
5177,0,4075
5180,0,4076
5181,25,4077
5186,4,4077
5197,0,4088
5202,0,4092
5205,0,4093
5208,0,4094
5211,0,4096
5214,0,4097
5217,0,4098
5218,49,4099
5220,49,4100
5224,0,4101
5227,0,4102
5228,0,4104
5242,13,4104
5243,22,4113
5248,45,4117
5255,0,4121
5261,4,4128
5264,31,4132
5270,0,4142
5276,6,4148
5278,0,4149
5282,30,3266
5283,11,3266
5295,45,4166
5300,0,4167
5301,4,4143
5308,49,4182
5309,36,4183
5310,0,4184
5312,0,4186
5318,0,4189
5319,0,4191
5332,6,4194
5338,25,4198
5362,0,4205
5383,0,4210
5386,0,4211
5393,0,4213
5414,4,4229
5429,11,4229
5433,13,4229
5435,16,4229
5439,40,4229
5446,37,4229
5455,37,4234
5460,20,4237
5462,19,4238
5468,0,4240
5477,0,4250
5480,0,4251
5485,0,4254
5489,0,4261
5501,0,4270
5505,0,4271
5506,4,4273
5509,20,4277
5513,0,4278
5517,0,4280
5527,0,4285
5530,0,4286
5533,0,4287
5536,0,4288
5539,0,4292
5542,0,4294
5550,0,4296
5561,13,4310
5562,0,4311
5572,51,4332
5577,6,4336
5580,20,4342
5582,20,4343
5584,45,4344
5604,0,4363
5612,0,4365
5622,0,4369
5625,0,4371
5626,25,4372
5628,25,4373
5629,0,4374
5633,0,4378
5635,0,4379
5643,0,4381
5648,0,4382
5653,0,4383
5658,0,4384
5662,11,4395
5664,20,4397
5674,0,4406
5680,20,4409
5684,0,4411
5688,51,4414
5690,0,4415
5693,40,4413
5699,51,4420
5709,0,4427
5710,0,4441
5723,13,4451
5724,0,4452
5734,0,4456
5735,0,4457
5745,0,4463
5748,45,4467
5754,30,4471
5756,49,4473
5757,2,4473
5762,49,4476
5772,20,4485
5774,49,4486
5775,36,4486
5776,0,4487
5780,40,4488
5783,13,4491
5785,0,4494
5796,49,4501
5797,36,4501
5800,0,4502
5803,0,4503
5804,0,4504
5809,0,4511
5812,4,4511
5814,49,4516
5819,0,4521
5825,19,4524
5829,0,4525
5833,0,4527
5836,0,4528
5839,0,4529
5842,0,4530
5843,40,4532
5850,0,4548
5856,0,4552
5868,30,4560
5881,0,4572
5884,0,4574
5887,0,4575
5891,11,4523
5896,0,4581
5898,24,4589
5904,20,4593
5906,20,4594
5908,20,4596
5913,0,4597
5918,0,4602
5921,21,4615
5924,22,4616
5927,0,4616
5936,0,4630
5939,0,4631
5942,0,4632
5945,0,4633
5948,0,4634
5949,0,4635
5954,0,4636
5957,0,4637
5960,0,4638
5961,51,4642
5965,0,4643
5969,0,4655
5974,0,4656
5975,0,4659
5978,0,4661
5985,0,4665
5990,6,4669
5993,20,4670
6004,9,4681
6006,13,4681
6007,0,4684
6020,0,4695
6023,0,4696
6026,0,4698
6029,0,4702
6031,20,4706
6034,0,4713
6037,0,4714
6039,20,4716
6044,0,4719
6046,20,4723
6048,20,4729
6055,36,4734
6059,0,4735
6062,0,4736
6063,36,4737
6068,0,4738
6069,6,4739
6073,11,4752
6074,0,4755
6080,0,4757
6083,0,4758
6086,0,4761
6095,0,4769
6098,20,4771
6100,20,4772
6102,20,4773
6112,30,4769
6113,11,4769
6122,0,4788
6135,28,4797
